Pre-Pilot Step 1,Pre-Installation TANGEDCO Bill Audit,Free (your time 30 min),MANDATORY before gain-share starts,Collect customer's last 3 TANGEDCO bills. Calculate average penalty as % of total bill. This is the contractual baseline.,,
Pre-Pilot Step 2,Baseline Formula Documentation,Free,Sign before Day 1,Savings = (Baseline Penalty % x Current Month Total Bill) - Actual Penalty Charged. Both parties verify from same TANGEDCO bill.,,
Phase 1: Pilot Hardware,1 Motherbox + 10 Production Nodes + 1 Utility Node,160000,Upfront commitment from customer,Install on worst 10 machines. Low-risk proof of concept.,,
Phase 1: Platform Fee During Pilot,Small tier platform fee regardless of factory size,8000 / month,Billed at small tier during pilot only,Keeps pilot cost predictable for customer.,,
Phase 1: Gain-Share SaaS,15% of proven TANGEDCO savings,Floor 15000 / Cap 60000 per month,Valid for first 60 days ONLY,Floor covers AWS costs. Cap raised to 60000 to reflect true value at high-penalty factories.,,
Phase 1: CLCSS Offer,Prepare CLCSS subsidy application during pilot,15000 one-time,Optional but high conversion impact,Customer gets 15% of full CapEx back from government. Offer this during pilot to pre-sell full rollout.,,
Phase 2: Full Rollout Day 61+,Convert to Standard Tier SaaS,Standard pricing,Gain-share ends on Day 61. Cannot be extended.,Pilot hardware CapEx of 160000 credited toward full factory invoice. Customer pays net balance.,,
Phase 2: MSME Financing Option,SIDBI SPEED Plus or NBFC equipment loan,0 upfront for customer,Krestor gets full CapEx on Day 1 from bank,Monthly EMI approx 36200/month for 3 years at 10% on 1123000. TANGEDCO savings of 80000/month covers EMI and SaaS.,,
,,,,,,
,,,,,,
========== SHEET 4: MSME FINANCING PARTNER PROGRAM ==========,,,,,,
Remove the CapEx objection without carrying credit risk yourself. Highest priority Year 1 action.,,,,,,
,,,,,,
Financing Option,Provider,Interest Rate,Max Loan,Term,Customer Monthly EMI on 1123000,Krestor Gets
SIDBI SPEED Plus Scheme,SIDBI,8.80% to 10.50% per annum,Up to 2 crore (100% of equipment cost),Up to 5 years,Approx 23800/month at 9% over 5 years,Full 1123000 on Day 1
MSME Equipment Loan,Local NBFCs and Banks,10% to 14% per annum,Up to 1 crore collateral-free,3 years,Approx 36200/month at 10% over 3 years,Full 1123000 on Day 1
Equipment Leasing,Local Coimbatore Leasing Firms,12% to 16% effective,Flexible,2 to 4 years,Approx 38000 to 45000/month,Full CapEx on Day 1
,,,,,,
FINANCING SALES SCRIPT,,,,,,
Step,What You Say,,,,,
1,When factory owner hesitates at CapEx say: We have a financing partner. You pay zero upfront.,,,,,
2,You pay the bank approximately 36200 per month for 3 years and you pay us 143400 per month SaaS fee.,,,,,
3,Your TANGEDCO savings alone will be 60000 to 80000 per month from day one. That covers the EMI entirely.,,,,,
4,Your net out-of-pocket after savings is approximately 100000 per month for a system that prevents motor failures and fills your Tally automatically.,,,,,
5,Hand customer the Krestor Financing Guide. One-page document with SIDBI SPEED Plus URL and required documents list.,,,,,
,,,,,,
REQUIRED DOCUMENTS FOR SIDBI APPLICATION,,,,,,
Document,Notes,,,,,
Udyam Registration Certificate,MSME registration. Most Coimbatore mills already have this.,,,,,
Last 3 years ITR and financials,Factory owner accountant will have these.,,,,,
Last 6 months bank statements,Standard for all equipment loans.,,,,,
Equipment quotation from Krestor Labs,You provide this on Krestor Labs letterhead with GST number.,,,,,
Energy audit report (if available),Your own pilot data or previous auditor report.,,,,,
,,,,,,
,,,,,,
========== SHEET 5: AUDITOR-IN-A-BOX CHANNEL PROGRAM (YEAR 2) ==========,,,,,,
Turn Coimbatore energy auditors into a commission-only sales channel that pays you for demo equipment.,,,,,,
,,,,,,
Component,Detail,,,,,
Target Partners,200+ certified energy auditors and freelance electrical consultants in Coimbatore and Tiruppur belt.,,,,,
Auditor Pain Point,Currently spends days manually logging data with handheld meters. Hours typing into Excel. Limited to 3 to 4 audits per month.,,,,,
Krestor Solution,Snap nodes onto machines for 7 days. Software auto-generates 20-page PDF energy audit. Auditor can take 10 to 15 clients per month instead of 3 to 4.,,,,,
,,,,,,
AUDITOR KIT CONTENTS,,,,,,
Item,Quantity,BOM Cost (INR),,,,
Motherbox,1,6740,,,,
Utility Nodes (Portable),5,15120,,,,
Pelican-Style Hard Case,1,4500,,,,
Magnetic Mount Clamps,10,800,,,,
,,,,,,
TOTAL AUDITOR KIT BOM,,27160,,,,
AUDITOR KIT PRICE,,150000,,,,
AUDITOR KIT GROSS PROFIT,,122840,,,,
,,,,,,
AUDITOR REVENUE STREAMS,,,,,,
Revenue 1,Hardware sale to auditor,150000 one-time,82% margin,Auditor pays for demo equipment,,
Revenue 2,Consultant SaaS license,5000 per month per auditor,High margin,Software license to generate audit PDFs,,
Revenue 3 (Trojan Horse),Full factory installation referral,10% of 1123000 = 112300 finder fee,Paid to auditor,Factory owner sees live dashboard and wants to keep it permanently,,
Revenue 3 - Krestor nets,Full installation minus finder fee,1123000 - 112300 = 1010700 + ongoing SaaS,Strong,Zero direct sales effort for full factory conversion,,
,,,,,,
AUDITOR TROJAN HORSE MECHANICS,,,,,,
Step,What Happens,,,,,
1,Auditor installs kit in factory for 7-day data collection audit.,,,,,
2,Factory owner sees live Krestor dashboard with their own energy and motor health data.,,,,,
3,Day 7: Auditor packs up kit. Factory owner experiences loss aversion - they hate losing visibility.,,,,,
4,Factory owner asks auditor: how do I keep this permanently?,,,,,
5,Auditor gives factory owner Krestor Labs contact. Receives 10% finder fee when deal closes.,,,,,
6,You close full factory installation. Auditor has earned 112300 commission. You net 1010700 CapEx plus full SaaS.,,,,,
,,,,,,
PREREQUISITE,Need minimum 3 live factory deployments with verifiable savings data before approaching auditors. Auditors stake their professional reputation on your PDFs. Build evidence base in Year 1 first.,,,,,
,,,,,,
,,,,,,
========== SHEET 6: CLCSS SUBSIDY DOCUMENTATION SERVICE ==========,,,,,,
Lowest effort highest impact Year 1 add-on. Helps customers get 15% of CapEx back from government.,,,,,,
,,,,,,
Scheme,Credit Linked Capital Subsidy Scheme (CLCSS),,,,,
Subsidy Rate,15% of eligible technology investment,,,,,
Maximum Subsidy,15 Lakhs per MSME,,,,,
Eligible Segment,All MSME manufacturers investing in advanced technology,,,,,
Application Body,Office of DC MSME via Udyami Mitra portal,,,,,
,,,,,,
FOR KRESTOR CUSTOMER ON 1123000 INSTALL,,,,,,
Full installation CapEx,1123000,,,,,
CLCSS subsidy (15%),168450,,,,,
Effective net CapEx after subsidy,954550,,,,,
,,,,,,
WHAT KRESTOR DOES (2-3 HOURS OF WORK),,,,,,
Step,Action,,,,,
1,Gather customer Udyam Registration Certificate and financial documents.,,,,,
2,Use Krestor energy audit data already generated by the system as technical justification.,,,,,
3,Prepare technology upgrade documentation showing before and after energy efficiency metrics.,,,,,
4,Submit application on Udyami Mitra portal on behalf of customer.,,,,,
5,Follow up with DC MSME office as needed.,,,,,
,,,,,,
SALES IMPACT,,,,,,
Your charge for this service,15000 one-time,,,,,
Customer gets back from government,168450,,,,,
Net benefit to customer after your fee,153450,,,,,
ROI for customer on your 15000 fee,1023%,,,,,
Sales pitch,We reduce your effective hardware cost from 11.23 Lakhs to 9.54 Lakhs by preparing your government subsidy application.,,,,,
,,,,,,
,,,,,,
========== SHEET 7: COIMBATORE INDEX - BENCHMARKING MODULE (YEAR 2) ==========,,,,,,
Anonymised industry benchmarking. Requires 20+ factories on platform. Pure software margin.,,,,,,
,,,,,,
Module Name,Krestor Industry Benchmark - The Coimbatore Index,,,,,
Price,4000 per month add-on to existing subscription,,,,,
Availability,Year 2 Q2 - after 20+ factories on platform,,,,,
,,,,,,
WHAT IT SHOWS,,,,,,
Metric,Description,,,,,
Energy per metre ranking,Factory's kWh per metre of fabric vs anonymised Coimbatore peer group,,,,,
Power factor percentile,Where factory's average PF sits in top 10% / middle 50% / bottom 20%,,,,,
Motor health comparison,Average motor health score vs similar mills by age and machine type,,,,,
Downtime benchmark,Machine stops per shift vs peer group average,,,,,
TANGEDCO bill percentile,Effective cost per unit vs similar-sized mills,,,,,
,,,,,,
LEGAL REQUIREMENT,,,,,,
Contract clause required from customer 1 onwards,Customer consents to Krestor Labs using anonymised aggregated operational data from this installation for industry benchmarking purposes. No individually identifiable factory data will be disclosed to third parties.,,,,,
,,,,,,
REVENUE PROJECTION AT SCALE,,,,,,
Factories on platform,Benchmark subscribers (60% take rate),Monthly revenue,Annual revenue,,,
20 factories,12,48000,576000,,,
30 factories,18,72000,864000,,,
50 factories,30,120000,1440000,,,
,,,,,,
,,,,,,
========== SHEET 8: REPAIR SHOP LEAD-GEN PROGRAM (YEAR 2) ==========,,,,,,
Give local motor repair shops predictive failure leads. Two-sided but simple. Year 2 Q3.,,,,,,
,,,,,,
Model,Krestor detects imminent motor failure. With factory owner consent routes alert to subscribed repair shop.,,,,,
Revenue,10000 per month per repair shop for lead-gen dashboard access.,,,,,
Factory owner consent,Explicit opt-in required. Factory owner can see which shops have access and revoke at any time.,,,,,
,,,,,,
HOW IT WORKS,,,,,,
Step,What Happens,,,,,
1,Krestor detects Motor 4 vibration and temperature indicating bearing failure within 14 days.,,,,,
2,Factory owner receives standard predictive maintenance WhatsApp alert as normal.,,,,,
3,If factory owner has opted in to repair shop program: subscribed repair shop also receives alert.,,,,,
4,Repair shop calls factory owner: Sir our system shows your motor bearing needs replacement. Shall I send a technician today?,,,,,
5,Factory owner says yes. Motor is serviced before failure. Everyone wins.,,,,,
6,Repair shop pays Krestor 10000 per month for access to this lead stream.,,,,,
,,,,,,
PREREQUISITE,Build factory owner consent toggle and repair shop dashboard into data model from Year 1. Do not actively sell until Year 2 Q3 when you have staff to manage two customer types.,,,,,
,,,,,,
REVENUE PROJECTION,,,,,,
Repair shops subscribed,Monthly revenue,Annual revenue,,,,
5,50000,600000,,,,
10,100000,1200000,,,,
20,200000,2400000,,,,
,,,,,,
,,,,,,
========== SHEET 9: OEM PRE-INSTALL PROGRAM (YEAR 3) ==========,,,,,,
Sell nodes to LMW and Coimbatore textile machinery OEMs. Captive SaaS subscriber base.,,,,,,
,,,,,,
Target OEMs,LMW (Lakshmi Machine Works) + Lakshmi Card Clothing + Precitex + other Coimbatore machinery manufacturers,,,,,
Why They Care,European imported machinery is marketed as Smart. Indian OEMs need IoT capability to compete without building their own software.,,,,,
Krestor Offer,Supply Universal Local Node PCBs at OEM bulk price. OEM builds them into loom control panels on assembly line. Machine ships with Powered by Krestor sticker.,,,,,
Factory Owner Experience,Buys new loom. Sees Krestor logo. Goes to krestor.in. Subscribes to SaaS to unlock machine data. Never chose to buy hardware - it was in the machine.,,,,,
,,,,,,
OEM PRICING MODEL,,,,,,
Component,Price (INR),Notes,,,,
OEM bulk node price (500+ units),6000 to 8000 per node,Lower than direct price. Zero CAC. No installation labour.,,,,
OEM bulk node BOM cost,2539 per node,Same as Production Kit,,,,
OEM gross profit per node,3461 to 5461,Lower margin than direct but zero sales cost,,,,
SaaS activation by factory owner,800 to 1000 per node per month,Mandatory to unlock machine data. Captive subscriber.,,,,
,,,,,,
PREREQUISITE,Approach LMW in Year 3 with 30+ live deployments of uptime data. Need field failure rate data and case studies. OEM stakes their brand on Powered by Krestor.,,,,,
,,,,,,
OEM SCALE PROJECTION,,,,,,
OEM partner,Machines shipped per year,Krestor nodes (1 per machine),Annual hardware revenue at 7000/node,Annual SaaS ARR at 900/node/month,,
1 mid-size OEM,500 machines,500 nodes,3500000,5400000 by Year 2 of OEM program,,
3 OEM partners,1500 machines,1500 nodes,10500000,16200000 compound,,"
"","","","","",""
"","","","","",""
========== SHEET 10: FINANCIAL PROJECTIONS - 75-MACHINE MEDIUM MILL =========="""
,,,,,,
Category,Line Item,Quantity,Unit Price (INR),Total (INR),,
CapEx (Day 1),Motherbox Gateway,1,25000,25000,,
CapEx (Day 1),Production Nodes - Kit 1,75,12000,900000,,
CapEx (Day 1),Utility Nodes - Kit 2,2,15000,30000,,
CapEx (Day 1),Environment Nodes - Kit 3,4,12000,48000,,
CapEx (Day 1),ERP Bridge Setup,1,120000,120000,,
CapEx (Day 1),CLCSS Subsidy Service (optional),1,15000,15000,,
TOTAL DAY 1 CAPEX,,,,1138000,,
CLCSS Subsidy Customer Receives Back,,,,168450,,
EFFECTIVE NET CAPEX FOR CUSTOMER,,,,969550,,
,,,,,,
OpEx (Monthly),Core Platform Fee - Medium tier,1,15000,15000,,
OpEx (Monthly),Standard SaaS - 81 nodes,81,1400,113400,,
OpEx (Monthly),ERP Bridge Maintenance,1,15000,15000,,
TOTAL MONTHLY RECURRING REVENUE,,,,143400,,
ARR Year 1,Annual Recurring Revenue (Monthly x 12),12,143400,1720800,,
,,,,,,
AMC Year 2,Motherbox AMC,1,8000,8000,,
AMC Year 2,Node AMC - 81 nodes,81,1500,121500,,
TOTAL AMC YEAR 2,,,,129500,,
ARR Year 2 Total,SaaS + AMC,,,1850300,,
,,,,,,
Year 2 Upsells Available,Coimbatore Index module,1,48000 per year,48000,,
Year 2 Upsells Available,Repair Shop Lead-Gen opt-in,1,0 (factory earns goodwill),0,,
TOTAL YEAR 1 VALUE PER MEDIUM MILL,CapEx + Year 1 ARR,,,2858800,,
,,,,,,
,,,,,,
========== SHEET 11: FINANCIAL PROJECTIONS - 20-ROOM COLD STORAGE (YEAR 2) ==========,,,,,,
,,,,,,
Category,Line Item,Quantity,Unit Price (INR),Total (INR),,
CapEx (Day 1),Motherbox Gateway,1,25000,25000,,
CapEx (Day 1),Cold Chain Nodes - Kit 5,20,18000,360000,,
CapEx (Day 1),Utility Node - Kit 2,1,15000,15000,,
CapEx (Day 1),ERP Bridge Setup,1,120000,120000,,
CapEx (Day 1),CLCSS Subsidy Service,1,15000,15000,,
TOTAL DAY 1 CAPEX,,,,535000,,
CLCSS Subsidy Customer Receives Back,,,,80250,,
EFFECTIVE NET CAPEX FOR CUSTOMER,,,,454750,,
,,,,,,
OpEx (Monthly) - Standard,Core Platform Fee Medium,1,15000,15000,,
OpEx (Monthly) - Standard,Cold Chain Standard SaaS,20,2800,56000,,
OpEx (Monthly) - Standard,ERP Bridge Maintenance,1,15000,15000,,
TOTAL MONTHLY - STANDARD,,,,86000,,
ARR Year 2 - Standard,,12,86000,1032000,,
,,,,,,
OpEx (Monthly) - Pharma Variant,Core Platform Fee Medium,1,15000,15000,,
OpEx (Monthly) - Pharma Variant,Pharma Compliance SaaS,20,4500,90000,,
OpEx (Monthly) - Pharma Variant,ERP Bridge Maintenance,1,15000,15000,,
TOTAL MONTHLY - PHARMA VARIANT,,,,120000,,
ARR Year 2 - Pharma Variant,,12,120000,1440000,,
,,,,,,
,,,,,,
========== SHEET 12: FINANCIAL PROJECTIONS - SME STEEL PLANT (YEAR 3) ==========,,,,,,
,,,,,,
Category,Line Item,Quantity,Unit Price (INR),Total (INR),,
CapEx (Day 1),Motherbox Gateway,1,25000,25000,,
CapEx (Day 1),Furnace Nodes - Kit 6,4,22000,88000,,
CapEx (Day 1),Production Nodes - Kit 1 (Auxiliary Motors),8,12000,96000,,
CapEx (Day 1),Utility Node - Kit 2,1,15000,15000,,
CapEx (Day 1),ERP Bridge Setup,1,120000,120000,,
CapEx (Day 1),CLCSS Subsidy Service,1,15000,15000,,
TOTAL DAY 1 CAPEX,,,,359000,,
CLCSS Subsidy Customer Receives Back,,,,53850,,
EFFECTIVE NET CAPEX FOR CUSTOMER,,,,305150,,
,,,,,,
OpEx (Monthly),Core Platform Fee Small (13 nodes),1,8000,8000,,
OpEx (Monthly),Steel Plant SaaS - 13 nodes,13,3500,45500,,
OpEx (Monthly),ERP Bridge Maintenance,1,15000,15000,,
TOTAL MONTHLY RECURRING REVENUE,,,,68500,,
ARR Year 3,,12,68500,822000,,
,,,,,,
,,,,,,
========== SHEET 13: PATH TO 1 CRORE ARR ==========,,,,,,
,,,,,,
Milestone,Factories Needed,Factory Type,Monthly SaaS (INR),Cumulative ARR (INR),,
Break-even on operational costs,2,Medium textile mills,286800,3441600,,
50 Lakh ARR,3,Medium textile mills,430200,5162400,,
1 Crore ARR - all medium mills,6,Medium textile mills,860400,10324800,,
1 Crore ARR - mixed,4 medium + 4 small,Textile mixed,varies,~10100000,,
2 Crore ARR - Year 2 expansion,6 textile + 4 cold storage,Multi-industry,varies,~21000000,,
3 Crore ARR - with Coimbatore Index,Previous + 18 benchmark subscribers,Add-on revenue,varies,~24500000,,
10 Crore ARR - Year 3 OEM entry,Core + 1 OEM partner shipping 500 machines,Multi-stream,varies,~100000000,,
,,,,,,
,,,,,,
========== SHEET 14: REVENUE STREAM PRIORITY MATRIX ==========,,,,,,
When to pursue each revenue stream. Sequential not simultaneous.,,,,,,
,,,,,,
Revenue Stream,Priority,When to Start,Why / Trigger,Prerequisite,,
Core Hardware CapEx Sales,Critical,Year 1 Month 1,Primary business. Start immediately.,PCB manufactured and tested.,,
Standard Tier SaaS,Critical,Year 1 Month 1,Recurring revenue foundation.,First customer installed.,,
ERP Bridge,Critical,Year 1 Month 3,Lock-in product. Highest lifetime value.,2 to 3 customers live. Tally integration built.,,
MSME Financing Partnership,Critical,Year 1 Month 1 - DO THIS FIRST,Removes biggest sales objection before first customer meeting.,Create one-page Krestor Financing Guide with SIDBI SPEED Plus URL.,,
CLCSS Subsidy Service,High,Year 1 Month 3,15000 revenue. Reduces effective CapEx. Strong sales tool.,Register Krestor Labs as MSME. Get GST number. Learn CLCSS portal.,,
Pilot Gain-Share Model,High,Year 1 Month 1,Door opener for hesitant factory owners.,Pre-installation bill audit form ready. Floor 15000 cap 60000.,,
AMC Annual Maintenance,Medium,Year 2 onwards,Automatic revenue from existing customers.,Existing customers complete 1-year warranty period.,,
Auditor-in-a-Box Channel,High,Year 2 Q1,Outsourced sales team that pays you.,Minimum 3 live factories with verifiable savings case studies.,,
Consultant SaaS for Auditors,High,Year 2 Q1,5000/month per auditor recurring.,Auditor kit hardware available. PDF generation software built.,,
Coimbatore Index Benchmark,Medium,Year 2 Q2,Pure software margin upsell to existing customers.,Minimum 20 factories on platform. Anonymisation consent clause in all contracts from Day 1.,,
Repair Shop Lead-Gen,Medium,Year 2 Q3,10000/month per repair shop.,Consent toggle in factory owner dashboard built. Mechanic dashboard built.,,
OEM Pre-Install Program,Long-term,Year 3,Transforms CAC economics entirely.,30+ factory deployments with uptime and reliability data to show LMW.,,
OEM Captive SaaS,Long-term,Year 3 onwards,Captive subscriber base. Machine ships with node pre-installed.,OEM partnership signed.,,
,,,,,,
,,,,,,
========== SHEET 15: TANGEDCO SALES PITCH DATA ==========,,,,,,
Hard data to use in every Coimbatore factory sales conversation.,,,,,,
,,,,,,
Stat,Value,Source,How to Use in Sales Pitch,,,
Peak hour surcharge,25% on energy charges,TANGEDCO 2025 LT V Tariff,Shifting 20% of load to off-peak saves factory 5000 to 15000 per month depending on size.,,,
Night hour discount,5% reduction on energy charges,TANGEDCO 2025 LT V Tariff,Additional saving on top of PF penalty evasion.,,,
PF penalty documented case,9031 INR penalty in one month on a normal bill of 6500 INR,FOCIA Coimbatore Federation Report,Show this to factory owner. His bill has likely doubled too.,,,
PF penalty rate,Up to 150% surcharge for low power factor,TANGEDCO 2025,At 150% surcharge their 50000 normal bill becomes 125000.,,,
CLCSS subsidy on 1123000 install,168450 INR back from government,DC MSME CLCSS Scheme,We reduce your effective cost from 11.23 Lakhs to 9.54 Lakhs through government subsidy.,,,
Coimbatore textile companies,25000+,Industry data,TAM: 25000 factories in one city. You need 6 of them for 1 crore ARR.,,,
Textile machinery manufactured here,84% of Indian total,Industry data,LMW and 50+ OEMs are 30 minutes from your first customer. OEM channel available in Year 3.,,,
MSME financing monthly EMI on 1123000,Approx 36200/month at 10% over 3 years,SIDBI SPEED Plus,TANGEDCO savings of 80000/month covers the EMI completely. Customer cash-positive Day 1.,,,
,,,,,,
,,,,,,
========== SHEET 16: RECOMMENDED FIXES AND CHANGES TRACKER ==========,,,,,,
Complete change log from v1 to v3. Shows every decision made and why.,,,,,,
,,,,,,
Fix ID,Issue / Addition,Version Added,Old Value,New Value,Status,
FIX 1,Platform fee disproportionate for small factories,v2,Flat 15000 all sizes,Tiered 8000 small / 15000 medium / 20000 large,Applied Sheet 2,
FIX 2,Gain-share baseline undefined - causes disputes,v2,No methodology,3-bill average. Pre-Installation TANGEDCO Bill Audit Form.,Applied Sheet 3,
FIX 3,Pilot cap of 40000 undersells value,v2,Cap 40000/month,Cap raised to 60000/month,Applied Sheet 3,
FIX 4,WhatsApp alert volume exposure unaddressed,v2,Unlimited included,50 alerts/node/month included. 2 INR per alert above threshold.,Applied Sheet 2,
FIX 5,Year 2 and Year 3 projections missing,v2,Textile only,Added cold storage and steel plant models,Applied Sheets 11 and 12,
FIX 6,Decoy tier description unprofessional externally,v2,Do not sell this,Entry-level monitoring only. Recommended for evaluation.,Applied Sheet 2,
NEW 1,Pharma cold storage compliance tier missing,v2,No pharma tier,Pharma Compliance Tier at 4500/node/month with FSSAI PDFs,Applied Sheet 2,
NEW 2,TANGEDCO peak hour savings not in sales pitch,v2,PF penalty only,Added 25% peak surcharge and 5% night discount to sales data,Applied Sheet 15,
NEW 3,MSME Financing Partner Program,v3,Not addressed,Full MSME financing program with SIDBI SPEED Plus details,Added Sheet 4,
NEW 4,Auditor-in-a-Box Channel Program,v3,Not in model,Full auditor channel program with kit BOM and trojan horse mechanics,Added Sheet 5,
NEW 5,CLCSS Subsidy Documentation Service,v3,Not in model,15000 service. Customer gets 168450 back. 1023% ROI for them.,Added Sheet 6,
NEW 6,Coimbatore Index Benchmarking Module,v3,Not in model,4000/month add-on. Requires 20+ factories. Consent clause in all contracts from Day 1.,Added Sheet 7,
NEW 7,Repair Shop Lead-Gen Dashboard,v3,Not in model,10000/month per repair shop. Year 2 Q3. Consent toggle required.,Added Sheet 8,
NEW 8,OEM Pre-Install Program,v3,Not in model,Bulk node supply to LMW and textile OEMs. Year 3. Captive SaaS model.,Added Sheet 9,
